description,price,rating,review_count,url
"Dell Inspiron 15 3502 Intel(R) Celeron(R) Processor N4020 Processor 128GB Solid State Drive 4GB, 1x4GB, DDR4 15.6-inch HD (1366 x 768) Anti-Glare LED-Backlit Non-Touch Narrow Border Displa",319,4.7 out of 5 stars,4,https://www.amazon.com/Dell-3502-Processor-Anti-Glare-LED-Backlit/dp/B08WKX53DV/ref=sr_1_32?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-32
"2021 Newest Dell Inspiron 15 3000 Series 3593 Laptop, 15.6"" HD Non-Touch, 10th Gen Intel Core i3-1005G1 Processor, 8GB RAM, 256GB PCIe NVMe SSD, Webcam, HDMI, Wi-Fi, Bluetooth, Windows 10 Home, Black",449,4.4 out of 5 stars,175,https://www.amazon.com/Dell-Inspiron-Touchscreen-i3-1005G1-Wireless-AC/dp/B087ZRBJNN/ref=sr_1_33?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-33
"Dell Inspiron 11 3195, 2 in 1, 7th Gen AMD A9-9420e W/ Radeon R5 Graphics, 4GB DDR4 2666MHz RAM, 64GB HD, 11.6"" HD (1366 X 768) LED-Backlit Touch Display (i3195-A525GRY-PUS)",285,4.0 out of 5 stars,338,https://www.amazon.com/Dell-Inspiron-A9-9420e-Graphics-LED-Backlit/dp/B07S37WHS5/ref=sr_1_34?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-34
"Dell ChromeBook 11 -Intel Celeron 2955U, 4GB Ram, 16GB SSD, WebCam, HDMI, (11.6 HD Screen 1366x768) (Renewed)",134,4.1 out of 5 stars,"3,696",https://www.amazon.com/Dell-ChromeBook-Celeron-1366x768-Renewed/dp/B0742HZW9B/ref=sr_1_35?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-35
Dell Inspiron I3505 AMD Ryzen 5 12GB RAM 256GB SSD 1TB HDD 15.6-inch FHD Touch LED Win 10 Home S Mode Laptop,619,5.0 out of 5 stars,1,https://www.amazon.com/Dell-Inspiron-I3505-15-6-inch-Laptop/dp/B08PV2K851/ref=sr_1_36?dchild=1&keywords=dell+laptop&qid=1619577854&sr=8-36
"New_Dell XPS 13.3"" FHD (1920x1080) Business Laptop, 10th Gen Intel Core i7-10710U, 16GB RAM, 1TB SSD, Wi-Fi 6, Bluetooth 5.1, Webcam, Thunderbolt 3 Multi-use Type-C Ports, Win 10, 1-W Shoxlab Support","1,449",3.5 out of 5 stars,3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A04187591ZKH1ING1USF9&url=%2F1920x1080-i7-10710U-Bluetooth-Thunderbolt-Multi-use%2Fdp%2FB08YP5X5CV%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577854%26sr%3D8-37-spons%26psc%3D1&qualifier=1619577854&id=7301598222050668&widgetName=sp_btf
Used Well Condition 6570B Business Professional Laptop Notebook PC Intel Core i5-3320M 2.5Ghz 4GB RAM 320GB SSD DVDRW Windows 10 Laptop,221,1.0 out of 5 stars,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A01904993S6DKFYPTXFB4&url=%2FCondition-Business-Professional-Notebook-i5-3320M%2Fdp%2FB08T6KJ7YC%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577854%26sr%3D8-38-spons%26psc%3D1&qualifier=1619577854&id=7301598222050668&widgetName=sp_btf
"MEOOEM Laptop Stand, Portable Bamboo Notebook Holder for Desk, Wooden Laptop Riser Compatible with MacBook, Dell, Lenovo, HP More 10-17"" Laptops",25,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A05625133SLNZSDM2KWX9&url=%2FMEOOEM-Portable-Notebook-Compatible-MacBook%2Fdp%2FB08TBJGQQ1%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577859%26sr%3D8-33-spons%26psc%3D1&qualifier=1619577859&id=5295019366703499&widgetName=sp_atf_next
"New_Dell Inspiron 15.6"" FHD Laptop,10th Gen Intel i3-1005G1 Processor (Up to 3.4 GHz), 4GB RAM, 128GB SSD + 32GB USB Flash Drive, HDMI, SD Card Reader, Bluetooth, Camera, USB Type-C, Windows 10 S",449,4.4 out of 5 stars,31,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A06334922PFW7OAPYL0ID&url=%2FNew_Dell-Inspiron-i3-1005G1-Processor-Bluetooth%2Fdp%2FB08J8DR8J9%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1619577859%26sr%3D8-34-spons%26psc%3D1%26smid%3DA2GY4BFUD7Z7CM&qualifier=1619577859&id=5295019366703499&widgetName=sp_atf_next
"Dell XPS 13 (9310), 13.4- inch FHD+ Touch Laptop - Intel Core i7-1185G7, 16GB 4267MHz LPDDR4x RAM, 512GB SSD, Iris Xe Graphics, Windows 10 Pro - Platinum Silver with Black Palmrest (Latest Model)","1,628",3.9 out of 5 stars,98,https://www.amazon.com/Dell-13-4-inch-Touch-Laptop/dp/B08ML2PW6W/ref=sr_1_35?dchild=1&keywords=dell+laptop&qid=1619577859&sr=8-35
